# 1_SENT_FILE_NAME  2_PARAGRAPH_NUMBER  3_SENT_IN_PARAGR  4_CONFIDENCE_VALUE_IN_PERCENT  5_SENT_NUMBER_IN_BOOK 6_SENT_TXT_BOOK  7_SENT_TXT_REC  8_SENT_TXT_LAB
chp01_00001	0001	1/1	100.00	00001	This is a Librivox recording.	this is a librivox recording	This is a Librivox recording
-	0002	1/1	0.00	00002	This Librivox recording is in the public domain.	#empty#	#empty#
chp01_00002	0003	1/1	100.00	00003	All Librivox recordings are in the public domain.	all librivox recordings are in the public domain	All Librivox recordings are in the public domain
-	0004	1/1	0.00	00004	For more information or to volunteer please visit Librivox.org	#empty#	#empty#
chp01_00003	0005	1/1	100.00	00005	For more information or to volunteer visit Librivox.org	for more information or to volunteer visit librivox dot org	For more information or to volunteer visit Librivox dot org
-	0006	1/1	0.00	00006	COMPLETE ***	#empty#	#empty#
-	0007	1/2	0.00	00007	Produced by David Widger.	#empty#	#empty#
-	0007	2/2	0.00	00008	Earliest PG edition produced by Graham Allan	#empty#	#empty#
chp01_00004	0008	1/1	100.00	00009	LIFE ON THE MISSISSIPPI	life on the mississippi	LIFE ON THE MISSISSIPPI
chp01_00005	0009	1/1	100.00	00010	BY MARK TWAIN	by mark twain	BY MARK TWAIN
chp01_00006	0010	1/1	0.00	00011	THE 'BODY OF THE NATION'	author	author
chp01_00007	0011	1/10	16.67	00012	BUT the basin of the Mississippi is the BODY OF THE NATION.	of the innocent	of the innocent
chp01_00008	0011	2/10	0.00	00013	All the other parts are but members, important in themselves, yet more important in their relations to this.	abroad rough in it the principal are etcetera with more than	abroad rough in it the principal are etcetera with more than
chp01_00009	0011	3/10	7.69	00014	Exclusive of the Lake basin and of 300,000 square miles in Texas and New Mexico, which in many aspects form a part of it, this basin contains about 1,250,000 square miles.	three hundred illustrations so by this inscription	three hundred illustrations so by this inscription
chp01_00010	0011	4/10	5.26	00015	In extent it is the second great valley of the world, being exceeded only by that of the Amazon.	only boston	only boston
-	0011	5/10	0.00	00016	The valley of the frozen Obi approaches it in extent; that of La Plata comes next in space, and probably in habitable capacity, having about eight-ninths of its area; then comes that of the Yenisei, with about seven-ninths; the Lena, Amoor, Hoang-ho, Yang-tse-kiang, and Nile, five-ninths; the Ganges, less than one-half; the Indus, less than one-third; the Euphrates, one-fifth; the Rhine, one-fifteenth.	#empty#	#empty#
chp01_00011	0011	6/10	7.14	00017	It exceeds in extent the whole of Europe, exclusive of Russia, Norway, and Sweden.	and james	and james
